epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2324.17,1.23009,1.01867,1.29698,0.60459,0.60632,0.57242,0.22435,2.34611,1.67364,2.06817,0.000848969,0.000848969,0.000848969
43,2377.81,1.20908,0.9919,1.26718,0.65668,0.5574,0.61891,0.23748,2.32247,1.67848,2.04742,0.000834822,0.000834822,0.000834822
44,2431.26,1.18494,0.9702,1.26302,0.62003,0.59584,0.5765,0.23706,2.30424,1.60785,2.01688,0.000820675,0.000820675,0.000820675
45,2484.45,1.15525,1.00196,1.25178,0.58524,0.5763,0.56701,0.2336,2.33004,1.60737,2.02827,0.000806528,0.000806528,0.000806528
46,2537.77,1.16737,0.97977,1.27167,0.59967,0.60558,0.57406,0.23408,2.33026,1.6562,2.0977,0.00079238,0.00079238,0.00079238
47,2591.01,1.14051,0.93934,1.2362,0.583,0.59331,0.58972,0.23204,2.32979,1.65405,2.0374,0.000778233,0.000778233,0.000778233
48,2644.21,1.14436,0.96912,1.24649,0.61335,0.53688,0.55294,0.21512,2.3397,1.66067,2.0997,0.000764086,0.000764086,0.000764086
49,2697.44,1.1393,0.94253,1.24951,0.64388,0.52876,0.56085,0.19521,2.38713,1.71979,2.11821,0.000749939,0.000749939,0.000749939
50,2750.69,1.13328,0.94301,1.23504,0.61699,0.6154,0.59076,0.22573,2.33892,1.65164,2.11469,0.000735792,0.000735792,0.000735792
51,2803.96,1.11993,0.92011,1.23544,0.66724,0.57102,0.56822,0.22136,2.35468,1.66141,2.10728,0.000721645,0.000721645,0.000721645
52,2857.2,1.09758,0.92516,1.2186,0.67111,0.5008,0.56053,0.22605,2.3439,1.7457,2.08272,0.000707498,0.000707498,0.000707498
53,2910.32,1.09482,0.90192,1.222,0.63762,0.5622,0.59293,0.24309,2.35064,1.62103,2.09938,0.000693351,0.000693351,0.000693351
54,2963.54,1.05935,0.89116,1.19661,0.6054,0.58357,0.54384,0.21225,2.36573,1.66984,2.1274,0.000679204,0.000679204,0.000679204
55,3016.68,1.05565,0.86445,1.19186,0.64793,0.55808,0.58067,0.24864,2.3826,1.63824,2.16588,0.000665057,0.000665057,0.000665057
56,3069.97,1.06735,0.87159,1.19478,0.67851,0.56034,0.59921,0.23558,2.4364,1.64964,2.22135,0.000650909,0.000650909,0.000650909
57,3123.15,1.05512,0.88336,1.18793,0.6719,0.55935,0.56796,0.22329,2.41136,1.68182,2.18186,0.000636762,0.000636762,0.000636762
58,3176.32,1.05922,0.87621,1.18444,0.62247,0.58096,0.59119,0.23579,2.37206,1.61033,2.13422,0.000622615,0.000622615,0.000622615
59,3229.54,1.02121,0.85002,1.17788,0.6361,0.565,0.56274,0.22498,2.39043,1.6461,2.12697,0.000608468,0.000608468,0.000608468
60,3282.77,1.04652,0.83368,1.17386,0.62716,0.55347,0.57232,0.22907,2.33968,1.70701,2.17887,0.000594321,0.000594321,0.000594321
61,3335.93,1.01371,0.83401,1.1618,0.58429,0.5522,0.53848,0.22198,2.3514,1.69133,2.17258,0.000580174,0.000580174,0.000580174
62,3389.06,1.00618,0.8207,1.15619,0.64445,0.55175,0.54496,0.21525,2.33555,1.69298,2.14984,0.000566027,0.000566027,0.000566027
63,3442.25,0.98209,0.82405,1.15297,0.56693,0.56077,0.55249,0.21653,2.39542,1.75227,2.23966,0.00055188,0.00055188,0.00055188
64,3495.34,0.98991,0.82844,1.15556,0.63259,0.54828,0.5574,0.22007,2.3981,1.66612,2.23939,0.000537733,0.000537733,0.000537733
65,3548.62,1.00079,0.83379,1.15766,0.62308,0.58189,0.54945,0.21703,2.40461,1.75248,2.20255,0.000523586,0.000523586,0.000523586
66,3601.74,0.97396,0.8061,1.14152,0.60316,0.5853,0.55441,0.22043,2.42404,1.70599,2.24003,0.000509438,0.000509438,0.000509438
67,3654.94,0.94714,0.80144,1.12905,0.62925,0.59146,0.58253,0.22705,2.42998,1.77181,2.26253,0.000495291,0.000495291,0.000495291
68,3707.93,0.96243,0.77683,1.13547,0.59223,0.59687,0.56771,0.22225,2.45108,1.77746,2.30128,0.000481144,0.000481144,0.000481144
69,3761.06,0.95123,0.78997,1.12187,0.65898,0.56415,0.59749,0.23898,2.42935,1.67678,2.22415,0.000466997,0.000466997,0.000466997
70,3814.24,0.9295,0.78978,1.11955,0.66989,0.54852,0.59592,0.24653,2.39138,1.69257,2.23071,0.00045285,0.00045285,0.00045285
71,3867.29,0.93225,0.78478,1.12377,0.67251,0.53342,0.58204,0.23002,2.39982,1.72177,2.25056,0.000438703,0.000438703,0.000438703
72,3920.3,0.90115,0.76264,1.11009,0.65376,0.55984,0.57993,0.24009,2.39276,1.65172,2.23906,0.000424556,0.000424556,0.000424556
73,3973.35,0.9139,0.74286,1.10036,0.6507,0.56519,0.55933,0.22977,2.41607,1.7288,2.26934,0.000410409,0.000410409,0.000410409
74,4026.41,0.88554,0.74656,1.09586,0.63349,0.5681,0.57743,0.23948,2.38211,1.72697,2.26426,0.000396262,0.000396262,0.000396262
75,4079.55,0.90105,0.7452,1.11141,0.64818,0.56381,0.56559,0.23567,2.40195,1.71735,2.26649,0.000382115,0.000382115,0.000382115
76,4132.62,0.89177,0.7313,1.08703,0.60938,0.57464,0.56449,0.23398,2.40144,1.68483,2.27859,0.000367967,0.000367967,0.000367967
77,4185.66,0.88363,0.74427,1.09644,0.63124,0.60269,0.57926,0.22729,2.45525,1.7631,2.30551,0.00035382,0.00035382,0.00035382
78,4238.78,0.87618,0.75731,1.09744,0.6303,0.56393,0.56488,0.23281,2.42507,1.75257,2.28404,0.000339673,0.000339673,0.000339673
79,4291.95,0.86824,0.7334,1.09486,0.67238,0.52492,0.57759,0.22809,2.45245,1.66638,2.31159,0.000325526,0.000325526,0.000325526
80,4345.19,0.85543,0.72997,1.08374,0.67441,0.56994,0.5961,0.23883,2.40055,1.67679,2.23565,0.000311379,0.000311379,0.000311379
81,4398.18,0.8405,0.72855,1.07489,0.62796,0.59299,0.56121,0.23546,2.39178,1.72893,2.26255,0.000297232,0.000297232,0.000297232
82,4451.29,0.84826,0.71436,1.08095,0.63592,0.57431,0.58743,0.24469,2.37905,1.7314,2.2547,0.000283085,0.000283085,0.000283085
83,4504.34,0.83112,0.72187,1.06672,0.63197,0.56351,0.56934,0.23756,2.38562,1.75944,2.25673,0.000268938,0.000268938,0.000268938
84,4557.38,0.82796,0.68981,1.07826,0.57099,0.61193,0.56183,0.22937,2.39468,1.66139,2.32959,0.000254791,0.000254791,0.000254791
85,4610.53,0.82592,0.69622,1.06403,0.63932,0.5641,0.55185,0.23127,2.38133,1.75882,2.31007,0.000240644,0.000240644,0.000240644
86,4663.68,0.8219,0.69118,1.06755,0.68045,0.52876,0.57642,0.24217,2.38998,1.74348,2.32305,0.000226497,0.000226497,0.000226497
87,4716.81,0.79675,0.68429,1.05453,0.6293,0.59796,0.5776,0.24437,2.35998,1.69447,2.26031,0.000212349,0.000212349,0.000212349
88,4769.87,0.79989,0.69694,1.06679,0.64202,0.52202,0.55142,0.22647,2.36662,1.74973,2.28869,0.000198202,0.000198202,0.000198202
89,4823.03,0.80362,0.66531,1.05317,0.64894,0.55085,0.56386,0.22456,2.3723,1.74553,2.27514,0.000184055,0.000184055,0.000184055
90,4876.16,0.78179,0.68262,1.05421,0.64835,0.54296,0.55967,0.23203,2.38692,1.76021,2.28605,0.000169908,0.000169908,0.000169908
91,4964.35,0.91376,0.61383,1.03932,0.6285,0.56966,0.5748,0.23884,2.4235,1.69339,2.31382,0.000155761,0.000155761,0.000155761
92,5016.78,0.86551,0.5656,1.02346,0.60246,0.57455,0.55065,0.23483,2.41241,1.66762,2.32296,0.000141614,0.000141614,0.000141614
93,5069.47,0.85358,0.57235,1.01798,0.58983,0.63777,0.57457,0.24628,2.41401,1.66705,2.35899,0.000127467,0.000127467,0.000127467
94,5121.77,0.84298,0.56899,1.01795,0.63067,0.59205,0.57683,0.24819,2.41497,1.71595,2.3626,0.00011332,0.00011332,0.00011332
95,5174.21,0.81655,0.54404,1.00351,0.58717,0.64018,0.55571,0.23724,2.38839,1.69134,2.3354,9.91726e-05,9.91726e-05,9.91726e-05
96,5226.55,0.82029,0.55217,1.00555,0.60198,0.62006,0.56081,0.24117,2.38567,1.70634,2.32709,8.50255e-05,8.50255e-05,8.50255e-05
97,5278.82,0.81321,0.55012,1.00561,0.61863,0.58495,0.56891,0.24839,2.37445,1.69652,2.30823,7.08784e-05,7.08784e-05,7.08784e-05
98,5331.25,0.80023,0.52549,0.99386,0.59255,0.61232,0.56506,0.24169,2.37758,1.73448,2.31458,5.67313e-05,5.67313e-05,5.67313e-05
99,5383.57,0.80661,0.54391,1.01278,0.59931,0.60794,0.58096,0.24782,2.36673,1.73023,2.30654,4.25842e-05,4.25842e-05,4.25842e-05
100,5436.01,0.80891,0.53955,0.98596,0.58652,0.61834,0.56568,0.24361,2.36524,1.70163,2.31248,2.84371e-05,2.84371e-05,2.84371e-05
