epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6383.16,1.60864,6.92642,1.518,0.26828,0.53465,0.25179,0.07735,2.31768,16.973,1.77574,0.00104231,0.00104231,0.00104231
43,6532.47,1.58494,6.73967,1.5334,0.34299,0.49828,0.32285,0.09634,2.29209,12.2559,1.76184,0.00103288,0.00103288,0.00103288
44,6681.88,1.62468,6.88754,1.53121,0.35679,0.49097,0.35568,0.10809,2.25946,9.66753,1.6765,0.00102345,0.00102345,0.00102345
45,6833.28,1.59772,6.76367,1.53033,0.36583,0.43008,0.30037,0.09051,2.38212,15.2696,1.87371,0.00101402,0.00101402,0.00101402
46,6981.81,1.63954,6.6893,1.54063,0.26814,0.57696,0.26625,0.07998,2.32322,23.5417,1.76632,0.00100459,0.00100459,0.00100459
47,7131.21,1.61628,6.63119,1.5093,0.326,0.3771,0.28244,0.09031,2.39835,14.0139,1.80134,0.000995156,0.000995156,0.000995156
48,7280.61,1.61161,6.64402,1.52335,0.29296,0.48361,0.32722,0.10041,2.2691,9.90665,1.69945,0.000985724,0.000985724,0.000985724
49,7430.09,1.58785,6.58227,1.52884,0.27469,0.39702,0.28476,0.08793,2.40012,12.3964,1.82641,0.000976293,0.000976293,0.000976293
50,7579.02,1.57108,6.47999,1.50973,0.28968,0.46201,0.31023,0.09483,2.33652,9.13943,1.77171,0.000966861,0.000966861,0.000966861
51,7728.46,1.57521,6.54359,1.50263,0.276,0.47107,0.33142,0.10585,2.2773,10.0018,1.76872,0.00095743,0.00095743,0.00095743
52,7877.41,1.56712,6.40824,1.50332,0.31317,0.48354,0.30453,0.09359,2.27671,10.6615,1.70894,0.000947999,0.000947999,0.000947999
53,8026.52,1.57019,6.50484,1.5035,0.34188,0.41488,0.33801,0.10304,2.32457,12.4707,1.79204,0.000938567,0.000938567,0.000938567
54,8181.04,1.59868,6.67644,1.51694,0.38715,0.4878,0.35669,0.10911,2.20548,10.5172,1.68686,0.000929136,0.000929136,0.000929136
55,8336.17,1.56067,6.44192,1.48792,0.29379,0.45644,0.32379,0.09561,2.32929,13.731,1.79052,0.000919704,0.000919704,0.000919704
56,8490.69,1.56201,6.42691,1.48517,0.31423,0.44195,0.30615,0.08835,2.29013,13.4462,1.77237,0.000910273,0.000910273,0.000910273
57,8639.44,1.57274,6.39982,1.47897,0.26645,0.45658,0.31349,0.09818,2.30914,10.3951,1.73904,0.000900842,0.000900842,0.000900842
58,8788.68,1.53645,6.18445,1.46816,0.40484,0.43015,0.33394,0.10422,2.30145,15.0737,1.75904,0.00089141,0.00089141,0.00089141
59,8937.95,1.54766,6.26124,1.46195,0.33211,0.45256,0.38058,0.11607,2.24563,10.2174,1.69471,0.000881979,0.000881979,0.000881979
60,9087.34,1.53864,6.14425,1.48127,0.37319,0.38882,0.3043,0.08981,2.39522,15.1557,1.84828,0.000872547,0.000872547,0.000872547
61,9237.22,1.55,6.24461,1.51034,0.39538,0.45321,0.37432,0.10666,2.30851,12.2475,1.76173,0.000863116,0.000863116,0.000863116
62,9386.65,1.55118,6.15497,1.45982,0.41455,0.44335,0.34632,0.10615,2.31764,13.4594,1.76282,0.000853685,0.000853685,0.000853685
63,9536.7,1.55559,6.22889,1.47784,0.42751,0.41944,0.37273,0.10805,2.32092,12.102,1.76009,0.000844253,0.000844253,0.000844253
64,9686.23,1.53129,6.12661,1.46676,0.40251,0.43456,0.37702,0.10592,2.34335,10.2102,1.77031,0.000834822,0.000834822,0.000834822
