epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3855.22,1.21241,0.84542,0.01017,0.7427,0.71127,0.76082,0.44751,1.3957,1.08135,0.0145,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,3976.54,1.22225,0.84096,0.01027,0.73129,0.70454,0.76227,0.43795,1.40987,1.08625,0.01463,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4096.17,1.20632,0.82772,0.01005,0.73085,0.73523,0.77621,0.45079,1.40942,1.01476,0.01485,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4216.75,1.19722,0.82086,0.00996,0.7321,0.73956,0.77114,0.44575,1.42778,1.05786,0.0153,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4337.43,1.17877,0.81337,0.00987,0.71788,0.72474,0.75557,0.43736,1.44784,1.04335,0.01517,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4457.14,1.17852,0.79312,0.00988,0.74953,0.72115,0.77965,0.44766,1.44829,1.07858,0.01567,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4578.07,1.17495,0.79031,0.00967,0.69884,0.73667,0.73986,0.42593,1.44503,1.10039,0.01528,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4698.99,1.1577,0.77979,0.00959,0.72154,0.73536,0.75929,0.45115,1.39515,1.06362,0.0146,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,4820.96,1.1347,0.75931,0.00936,0.73273,0.73731,0.75956,0.44173,1.43537,1.08294,0.01503,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,4941.26,1.13712,0.75533,0.0094,0.70966,0.74745,0.76505,0.44266,1.41038,1.06917,0.01465,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5061.39,1.11985,0.74806,0.00921,0.72509,0.72602,0.75204,0.4359,1.44064,1.10654,0.01518,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,5181.99,1.11612,0.74511,0.00925,0.69524,0.75188,0.75577,0.44097,1.40237,1.08541,0.01464,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5302.74,1.1043,0.74272,0.00904,0.71914,0.71743,0.74964,0.43735,1.43202,1.09764,0.01499,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5422.24,1.11816,0.73452,0.00923,0.72563,0.70094,0.74196,0.42816,1.44299,1.12393,0.01535,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5543.78,1.10496,0.71338,0.0091,0.7638,0.71732,0.77927,0.45454,1.42018,1.07522,0.01495,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5663.94,1.08655,0.72188,0.00892,0.72592,0.7219,0.75254,0.43798,1.45739,1.12007,0.01544,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,5784.64,1.08879,0.69944,0.00899,0.74791,0.7189,0.76157,0.44058,1.44114,1.1173,0.01538,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,5897.43,1.07383,0.68438,0.0088,0.71368,0.76336,0.75982,0.43933,1.43626,1.05961,0.01525,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,6017.85,1.06524,0.68085,0.00877,0.7392,0.73438,0.75667,0.43955,1.44409,1.07149,0.0153,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,6138.31,1.06322,0.67729,0.00876,0.72608,0.75583,0.76518,0.44777,1.45257,1.06173,0.01539,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,6258.96,1.04427,0.67077,0.00859,0.72125,0.74241,0.76129,0.44159,1.46924,1.08173,0.01574,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,6378.65,1.0376,0.64817,0.00846,0.72186,0.73327,0.76408,0.43442,1.47879,1.10628,0.01566,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,6490.82,1.04277,0.64814,0.00856,0.75439,0.71445,0.75676,0.44251,1.45474,1.08673,0.0155,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,6611.75,1.02096,0.65409,0.00838,0.7355,0.72046,0.74651,0.42813,1.47793,1.13506,0.01582,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,6731.83,1.01731,0.63913,0.00838,0.71391,0.72833,0.74694,0.42425,1.4866,1.15098,0.01593,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,6849.68,0.99998,0.63155,0.00812,0.74006,0.72358,0.75449,0.43553,1.47149,1.11832,0.01558,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
